0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Gelderland Expected Number of Deaths,Overijssel Expected Annual Damage,Overijssel Dike Investment Costs,Overijssel Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,2,7,1,6,4,3,1,6,6,6,9,4,1,4,0,0,0.001850366551784712,170908.31464782328,74422785.02414373,1.4044212228466078e-05,1129600000.0,519.3023744776586
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,2,6,1,0,2,7,0,5,3,10,4,1,0,4,3,0.039647829466619496,193256.48722390505,112163211.32803158,1.3025512225476886e-05,242400000.0,13526.675535867616
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,1,5,1,1,2,6,1,5,2,10,5,4,0,7,0,0.03892261815061459,212135.55907780305,96115557.73016886,1.5468079104328988e-05,242400000.0,11483.530112060696
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,2,4,6,1,5,5,10,1,7,6,0,0,0.45613374671421214,1557883.767412911,90141783.13139167,0.0009596276819109689,30700000.0,0.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7,0,0,4,0,6,4,6,0,0,0,4,0,0.652513928077029,12098526.162518116,45963574.5559752,0.007557337044542095,121200000.0,0.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,7,1,3,7,7,2,5,0,0,0,0,0,0,0.18154417952522475,66748040.61286066,0.0,0.04537368191708968,121200000.0,0.0
0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2,0,1,4,1,0,7,0,5,5,0,0,0,0,0,0,0.0808223548966007,38222356.581907466,0.0,0.0031734631993778116,182600000.0,12332.286775085768
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,6,0,7,6,5,4,7,10,5,0,4,5,7,0.1506243870569614,388186.8422842953,171001392.12532005,0.00023746489596514564,205800000.0,0.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2,1,0,4,6,9,3,3,10,7,7,10,6,7,0.1289996520685454,388186.8422842953,255777646.20135742,0.00023746489596514564,121200000.0,0.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,4,2,1,0,9,0,2,0,10,6,0,7,0,0,0.07349442856064502,365626.126130494,82190573.8501687,2.5569645972787202e-05,121200000.0,19889.01352835983
0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,6,6,4,6,6,9,7,5,5,8,1,0,4,0,0,0.0009391208515807731,441290.2978941638,57756126.93599059,0.0002524697412597069,1380400000.0,0.0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5,2,4,1,7,5,0,5,6,10,1,0,7,0,0,0.2571463823297411,788432.766982799,73422794.52968779,0.0005145339174971897,339000000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,3,6,0,2,6,4,0,2,0,0,0,0.2883198992900843,49026898.69836231,18081997.288140483,0.015779284657262884,0.0,11780.005320266808
0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,2,0,0,4,5,6,2,2,5,10,0,2,0,3,0,0.32352822931395736,278067.06888782204,60995930.46979628,0.00027326113814024405,906500000.0,0.0
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,6,2,7,7,1,6,0,5,5,10,5,4,7,5,1,0.021038389457124163,1333817.5296062783,179988335.47193408,9.232697672116187e-05,115300000.0,5372.917907625412
0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,1,2,5,7,10,1,4,5,9,5,0,0,0,0,0.33307594581666883,5281840.631255756,33121261.29565658,0.00416998206312359,363600000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6,1,0,6,1,10,5,10,3,0,7,0,0,0.3067395661675132,1833559.67653845,76407035.27083553,0.00122147077732589,0.0,0.0
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,1,6,1,6,5,6,4,5,6,9,4,0,6,0,0,0.018381521581724413,762334.7895192446,71536344.31441246,5.141671090244154e-05,242400000.0,2754.147388825439
0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,4,4,5,0,7,7,5,4,0,5,0,0,0,0,0.18899692360961146,19236009.295333095,11068771.68625446,0.012864924932088167,711800000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,1,0,3,6,2,6,5,10,6,1,7,7,0,0.04928502284225767,1353610.667052516,148923054.15602595,9.48941612623576e-05,0.0,12144.352446635587
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,1,0,6,7,7,2,0,0,0,5,0,0,0.23438893739948147,38869144.29929751,36676675.840294495,0.01916018977892,30700000.0,0.0
0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,2,1,2,7,0,4,6,5,5,9,6,0,0,0,0,0.09747715309083944,14203037.698187772,35174846.225991,0.012351970971813493,478900000.0,0.0
0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,3,0,2,1,0,3,7,7,5,2,1,0,0,0,0,0,0.04971717373299102,34542325.109213606,6320800.309666243,0.0024618387712762803,182600000.0,11261.852647874402
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,1,0,4,6,3,7,0,2,2,4,0,1,3,0,0,0.056618383724460375,19314328.493422247,47276770.53435017,0.0015170650772277088,61400000.0,11671.002998388412
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,1,4,0,6,0,4,6,7,0,9,0,0,0.1123335482352277,4465931.078655639,83147574.5993171,0.0023033073090510396,0.0,0.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,6,2,1,0,2,6,1,3,2,10,6,0,4,6,0,0.02381579933801713,1353909.2756682683,117441227.82200825,9.493289102030075e-05,30700000.0,10516.520999616552
