0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Gelderland Expected Number of Deaths,Overijssel Expected Annual Damage,Overijssel Dike Investment Costs,Overijssel Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,5,6,6,3,0,0,5,7,0,0,0,0,0,0.8289575793071134,477433064.4920998,14261651.781499248,0.16020700486555767,0.0,32921.56208198284
0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,7,2,1,7,1,3,7,5,6,0,3,0,3,0,0,0.0018302296537766037,14030261.269225532,38804933.73898803,0.00998889479251977,1208900000.0,0.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,7,5,2,1,6,3,7,0,1,0,4,0,0,0,0,0.011733259289341312,166123332.73375836,9695195.36216505,0.018218202646340068,121200000.0,16943.73191136508
0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,7,2,6,0,6,6,0,1,6,0,0,0,0,0,0,0.3357790335422527,165111594.79921812,0.0,0.14783512660697223,182600000.0,0.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,2,9,0,1,4,0,0,6,0,0,0,5,0,0,0.17122561335505557,73679985.12912673,36676675.840294495,0.004955284247388054,30700000.0,37928.609730220436
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,6,1,1,3,0,1,6,0,0,0,4,0,0,0.23855213889975907,51047446.40960763,33377116.55719709,0.0031951015796615376,121200000.0,26468.585170278457
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,7,1,2,10,6,2,0,6,10,1,0,0,0,0,0,0.09663462904755682,163389726.41441703,6320800.309666242,0.01781219320805192,205800000.0,29278.975881111655
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,2,5,1,3,7,0,7,4,0,0,3,0,0,0.23822063986096317,99254693.60318944,40046721.40454503,0.030175060289573688,0.0,5727.977304576037
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,3,1,7,3,7,0,4,0,0,0,1,0,0,0.06499975673465912,254046291.03626633,25037214.086173728,0.23135006486701884,115300000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,6,6,1,3,3,2,7,7,0,2,7,0,0,0.19229474927971885,2242109.16077966,67731432.95737815,0.0019840525948612835,0.0,0.0
0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,3,3,5,6,6,6,3,3,0,1,6,0,3,7,0,0,0.006280886221604075,12633.93188848597,67121520.26824078,9.677132378426147e-07,267200000.0,1334.0112599528095
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7,2,5,7,6,1,5,6,5,7,3,0,7,0,1,0.013221103695553092,0.0,100826219.85353714,0.0,151900000.0,0.0
0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,6,1,7,9,1,6,4,2,3,7,0,0,7,0,0,0.014919944374747213,68826.07947339071,58455165.32663889,3.7897015839897936e-05,575500000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,6,0,1,5,0,0,6,7,1,0,0,0,0,0.3054109260698208,474595617.0974769,22258486.725668453,0.05299730932487266,0.0,76401.92123477037
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,6,1,7,6,0,7,0,3,0,0,0,0,0,1,0.0021196896348293463,425053635.44202566,25037214.086173728,0.13408079314189142,30700000.0,13379.373195716382
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,7,5,1,0,1,6,3,0,0,3,0,0,0.7037237053852458,61889877.217877015,38804933.73898803,0.020912338752776722,0.0,25767.02138049039
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,6,6,7,7,4,6,0,3,0,0,3,0,0,0.08987392839615921,119442360.63488814,38804933.73898803,0.09123034566689861,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,4,1,0,9,1,7,3,0,8,0,0,1.243937708945067,58179.08602998087,73420281.77157897,4.6138407156347934e-05,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,6,6,5,5,7,2,1,0,0,0,0,1,0,0.013589580976309872,319961416.5921903,25037214.086173728,0.3019497280022408,0.0,0.0
0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,2,6,2,1,2,0,3,7,4,0,1,0,0,0,0.4812555181454854,31780822.434805878,16925244.491970196,0.009950250462102834,363600000.0,12076.148587696516
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,6,1,1,0,9,1,0,0,3,0,0,1.4380216209059709,77525380.25629316,36672326.35204622,0.06272991451449134,0.0,0.0
0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,4,6,7,1,6,6,8,0,7,7,0,0,7,0,0,0.09777716074451094,0.0,58455165.32663889,0.0,974100000.0,0.0
0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,4,5,3,2,6,10,0,5,1,4,2,2,0,0,0,0.41452600082935653,34558519.53481424,27051760.437178552,0.030587722602425427,619700000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,6,0,1,0,0,1,1,7,0,0,7,0,0,2.25062657543818,0.0,58455165.32663889,0.0,0.0,0.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,7,5,0,6,1,5,6,3,8,7,5,8,3,0,0.3281143639240711,0.0,141266670.25801486,0.0,30700000.0,0.0
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7,2,5,0,1,3,0,0,1,7,0,0,0,0,0,0.984260440791177,159263133.6869569,14261651.781499248,0.1465662274134597,151900000.0,0.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,5,6,6,6,1,1,0,1,7,0,2,0,0,0,1.0698770434629217,160189001.3991016,23537919.412238494,0.14786642527415755,121200000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,7,5,6,6,3,0,0,5,0,0,0,2,0,0,0.8289575793071134,156949489.19999504,27578229.96765524,0.04387744415326028,0.0,33741.92005511988
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,6,1,6,7,7,8,3,2,3,0,3,0,0,0,0.0015347689668732747,490496685.8824036,17803345.000196747,0.06853460310865488,0.0,26738.92829903965
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,6,7,6,7,5,5,0,1,1,7,0,0,5,0,0,0.1740694389907834,3963131.2374142334,50938327.62179375,0.0004129494664586967,121200000.0,41322.92156522928
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,7,5,6,4,6,9,0,3,6,7,0,0,6,0,0,0.0732808141052027,6289753.901695104,54535324.165223256,0.0006013360972135016,30700000.0,18229.965177627426
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,6,6,6,3,8,0,1,5,0,0,0,3,0,0,0.323861452405128,78958975.27999744,30351526.042379983,0.01285722257612154,151900000.0,11289.1800402872
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,6,5,1,6,7,7,0,8,6,1,0,7,0,0,0.09777716074451094,145862.3971982947,64512576.751798384,8.187971147861887e-05,121200000.0,0.0
0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,3,7,2,7,8,0,0,0,3,4,7,0,0,4,0,0,0.024491169458902312,19356167.446856603,47638768.33869634,0.0020291403845536784,182600000.0,7708.406460617183
0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,5,5,6,6,6,0,0,1,4,0,0,7,0,0,0.33908584850533435,425033.4098199693,53888708.9073047,6.895877906286087e-05,236500000.0,13660.146849412558
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,6,5,7,10,1,0,6,4,0,3,0,0,0,1.0557587208312107,160223658.6211505,19364628.02360858,0.14798430189344797,121200000.0,0.0
0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,7,7,6,0,0,1,0,0,6,0,0,0,0,0,0,0.09006779741605017,95749283.83499098,0.0,0.010262001702028602,273100000.0,43777.505215290206
0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,6,7,0,4,0,2,0,3,5,7,1,0,0,0,0,0.3192609265484945,96674209.81920967,22258486.725668453,0.08847628867306401,273100000.0,0.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,5,7,7,6,1,0,7,9,0,1,0,0,0,0,0.2861610256328764,164962631.40844265,6320800.309666242,0.053726605372832845,121200000.0,14149.809571647755
