0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Gelderland Expected Number of Deaths,Overijssel Expected Annual Damage,Overijssel Dike Investment Costs,Overijssel Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,4,5,1,6,7,0,8,7,3,3,3,0,4,0,4,0.023447203455369967,12938882.582818605,89358885.28495976,0.004394736526811385,523300000.0,1604.4497834760962
1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,5,3,0,0,9,5,4,3,3,3,1,1,4,0,0,0.06184715201590464,7127426.793160412,56051728.752538845,0.005550381573284171,690800000.0,0.0
1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,3,4,0,6,6,5,4,7,4,3,2,6,5,0,0,0.15215470510902482,4171543.5279772286,68128752.48482962,0.0025279058324897477,544800000.0,0.0
0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,3,7,0,5,5,8,8,0,5,4,1,1,9,0,0,0.029146074256240335,390552.731429121,77516353.30375046,0.0002810196019635052,606200000.0,0.0
1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,4,3,6,6,6,5,7,4,0,2,6,4,0,3,0.0955352342481877,26813060.43113084,88888132.60432169,0.018173008095004984,454300000.0,0.0
0,1,0,0,0,1,1,1,1,0,1,1,0,1,0,3,7,3,6,7,3,5,9,2,2,0,1,4,0,5,0,1.228336074839708e-05,47283807.849876896,53023964.63325918,0.004848041738374802,893000000.0,3070.6388118305836
1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,6,1,0,5,5,1,1,5,5,5,4,6,7,0,2,0.09808218170990779,51855.89363589128,118652775.1864902,3.232186537636166e-05,741100000.0,0.0
1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,4,1,7,7,3,4,8,7,1,6,5,1,4,7,0,0,0.0022793384436507603,335337.8449606944,74600091.62942469,3.174823484975608e-05,787400000.0,1079.6265432389575
0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,2,2,7,7,0,9,4,1,4,0,4,0,0,0,0.05357803895316671,372164250.90000635,20785047.17797311,0.10596274864207479,492600000.0,11358.569418622987
1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,9,7,1,7,0,5,4,0,4,0,3,0,1,0,0,0.012669972910516306,247831628.21809146,33490621.782781776,0.07102718582501154,485000000.0,7284.2119489980205
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,5,6,5,9,1,1,7,4,5,7,2,0,0.03166227992946585,0.0,121630313.64279157,0.0,169200000.0,4433.576102417294
1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,2,6,3,4,3,3,4,6,4,2,0,1,5,0,5,0,0.0033857423761601527,34848344.352033556,54444477.23563117,0.0036650617169435087,916200000.0,3954.8586465166068
0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,6,4,0,0,1,2,1,7,5,7,4,0,2,3,0,0.25199280205193303,1431337.9534251944,86567113.48201263,0.0003573249797222431,236500000.0,17687.966386522665
1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,6,2,3,1,6,7,7,2,4,0,3,0,0,0,4,0.012544099884808129,59641586.89668629,41830524.25380514,0.017427158544798163,690800000.0,4730.797385092491
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,3,3,7,6,1,3,2,4,0,1,10,7,3,0,0,0.07944281627918394,43920905.60947251,78392044.8446439,0.0041438832336734115,151900000.0,22514.642667448727
1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,2,2,7,1,3,1,7,4,5,0,2,5,0,5,0,0.3041640828481426,14817810.198755411,55846910.96710935,0.00834317758181139,952800000.0,0.0
0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,5,6,0,5,5,3,4,5,5,9,6,5,5,1,6,0.04261810063056975,5448870.276768132,169060564.1510281,0.004657196117114039,146000000.0,0.0
0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,2,1,1,6,7,1,0,1,3,6,4,0,0,0,0.4843981224801367,30876825.047533523,35493319.36033734,0.008946016650192927,478900000.0,16272.956607943666
0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,2,2,7,6,1,6,6,6,5,0,2,5,0,3,0,0.12524494826757343,64958338.60355219,49521761.16919485,0.05393777794463001,644500000.0,0.0
0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,3,5,3,2,0,3,3,0,3,3,7,5,3,2,0,0,0.029844517764680514,23011871.383999385,68495090.81742172,0.0023511857940443823,552300000.0,14137.031487575267
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,7,6,5,4,3,5,6,6,0,5,7,0,6,1.2360112687733436,212341.93410661843,121273759.08071855,0.00014218224137880112,30700000.0,0.0
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,6,4,0,0,1,5,4,6,1,4,4,0,1,0,0,0.0723500639175491,184777626.4126678,45822261.264146835,0.024063005504816107,169200000.0,34816.701850709185
1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,3,6,7,2,3,7,7,7,9,0,3,4,5,0,0,0.013586194903291323,48206051.217612654,55853506.80426258,0.0038002519883925463,230600000.0,4649.244016385982
1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,5,1,5,2,4,7,4,1,6,0,4,6,3,0,0,0.08102526380585255,13049408.726022173,54443744.76284186,0.009129650465389173,954500000.0,0.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,2,6,1,1,7,7,7,5,0,1,5,2,2,4,0.10316708782212083,61538230.57868774,113019630.1361758,0.03506500208948852,30700000.0,0.0
0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,5,5,6,1,1,5,7,6,7,4,4,4,0,0,0,0.05907755397695548,171199961.5929253,33470177.152405865,0.14199391087204577,351800000.0,0.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9,0,6,6,4,6,2,3,6,7,3,3,0,0.5344052281558546,12964951.049610415,105594197.89510234,0.008230117427979225,84600000.0,0.0
0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,5,4,1,1,6,0,0,0,6,1,7,3,0,0,0,0.09256406289363459,42505872.84294016,32130168.07907235,0.010600774973431924,509600000.0,8536.885784044245
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,3,6,1,1,7,7,0,5,1,7,3,3,2,0,0.5256726390064944,22581359.410787024,92984744.53566486,0.013416223928994553,121200000.0,0.0
0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,2,7,1,1,2,7,5,7,2,4,4,0,0,0,0.3610931899169304,160550663.5649675,29561882.696503144,0.14218847459150613,607900000.0,0.0
