0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Gelderland Expected Number of Deaths,Overijssel Expected Annual Damage,Overijssel Dike Investment Costs,Overijssel Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,5,8,6,8,10,3,4,4,9,7,8,6,9,0,7,0.01828718972527521,0.0,168389121.16237658,0.0,1049400000.0,0.0
0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,2,1,2,2,4,8,2,10,4,10,4,7,5,7,7,1,0.02359400456293729,273791.5635544796,182207506.6508513,3.0472819888761208e-05,613800000.0,3589.7161990487048
0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,2,7,8,10,6,8,3,10,8,7,3,8,10,0,0.0013834020683791556,0.0,173343561.92008173,0.0,1043500000.0,52.01860576419766
1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,4,3,9,7,2,9,8,1,5,0,6,1,6,2,2,0.0617871194756667,1876936.1021573544,130413974.54998215,0.0011512412982645046,1216500000.0,0.0
1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,9,10,0,1,6,1,0,3,3,9,6,2,1,7,2,0.1381761704934464,11884824.180743549,154135886.7807363,0.008107969254747056,759800000.0,0.0
1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,3,6,8,4,8,7,8,7,0,6,5,2,4,7,0,10,0.00020749178727241666,51855.89363589128,149804507.6425202,3.878623845163398e-06,710400000.0,71.2239871920782
0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,3,3,7,7,6,2,3,3,4,7,8,9,6,3,7,4,0.013878040287228884,301161.1024357843,188069357.11958832,2.4843083310805492e-05,303800000.0,2416.9227714665712
0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,10,9,8,10,1,1,3,10,2,8,6,0,9,5,7,0.05916526939369027,0.0,206055909.55830657,0.0,625800000.0,0.0
1,0,0,1,0,1,1,1,0,1,0,1,1,0,0,4,6,8,7,1,6,9,8,9,9,6,0,5,7,0,3,0.004181366628269376,0.0,108720638.79589021,0.0,1080100000.0,2620.738534285275
1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,8,5,8,2,10,3,5,9,7,7,5,1,2,2,4,0.016697881310178325,28534962.303237095,132977016.1894609,0.021523187381015177,1158800000.0,0.0
0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,4,10,10,5,4,9,8,6,0,1,5,5,2,1,4,0.031033034617639878,42612325.79250081,122581583.09942894,0.013932797876560498,438700000.0,3277.918232369365
0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,3,5,10,3,1,10,5,4,0,8,5,1,5,10,2,9,0.009022333352591623,23539.95905452392,208345620.52076143,1.8010453241969376e-06,388400000.0,2595.6869216541345
1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,3,7,5,7,10,10,3,6,7,6,8,1,9,7,4,2,9.892198339540415e-05,0.0,175260764.66693568,0.0,960600000.0,20.445634866563736
0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,9,10,0,6,1,8,1,10,7,0,8,3,0,0,4,0.3847889546705291,355329000.87021405,60546416.44303472,0.25356573091838647,760700000.0,0.0
1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,4,8,1,9,6,1,6,8,9,10,4,6,4,5,7,0,0.00015048543958945564,7575106.93385038,126613884.90990548,0.0007006399347557715,960600000.0,969.6446728082026
0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,10,3,4,6,8,4,9,9,1,1,2,4,6,1,0.09328714161129972,1259965.4417597365,135179034.44776532,0.0006936538331615942,1465000000.0,0.0
1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,10,0,0,7,0,2,4,8,0,0,3,1,8,2,0,0.003786351758575396,7302669.25477756,99991439.83413628,0.0011620930131176655,1035500000.0,420.4044895302577
1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,3,5,3,0,1,9,8,8,8,2,2,4,0,1,3,0,0.004149708417474278,16814689.927793533,74127060.13680758,0.0014977549628979344,1249300000.0,4374.583247214811
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,2,3,0,4,5,0,9,1,7,3,3,10,2,1,0,0.015740954663235517,55121368.38200918,97096464.81082046,0.005283425714289169,461900000.0,9257.63229728031
1,1,0,0,1,0,1,0,0,0,1,1,1,0,1,0,3,4,9,0,3,1,2,3,5,8,4,2,2,3,1,0.3213273193314004,0.0,129424191.59784392,0.0,1172300000.0,0.0
0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,8,8,7,9,7,5,8,2,9,7,6,0,6,0.06749392534524967,2683013.2446121043,136918988.08362326,0.0018696520119097471,824000000.0,0.0
1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,4,9,7,5,7,6,8,3,2,3,8,3,9,3,0,5,0.004766956431136808,6316071.928263604,124344569.55815278,0.0006364139831844079,1561600000.0,1377.5716285355995
0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,6,10,5,9,9,3,3,1,9,5,6,3,4,1,6,0.023182681374371548,242191.26095679164,147848292.36218578,0.00021658840802357855,1420800000.0,0.0
0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,4,5,1,6,7,0,8,7,3,3,3,0,4,0,4,0.023447203455369967,12938882.582818605,89358885.28495976,0.004394736526811385,523300000.0,1604.4497834760962
1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,4,7,2,8,5,9,0,5,1,3,10,10,1,6,2,0,0.0004735469666063435,0.0,135297748.263953,0.0,810100000.0,148.14571013981083
1,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,10,5,9,9,10,9,7,1,9,7,8,5,9,10,0,0.0,0.0,184797435.30289602,0.0,813700000.0,0.0
0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,9,2,4,9,3,1,9,4,0,0,6,9,4,7,6,0.0,24911106.59660882,176993324.84030956,0.003006305714696709,542900000.0,1349.6239027889387
0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,7,3,6,1,4,3,10,4,8,10,7,5,1,1,1,0.0685454211742947,75544631.1357038,137644775.7433743,0.05862721868511936,625800000.0,0.0
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,1,0,2,5,9,1,8,8,4,3,6,0,8,4,0.4524220107599666,30039579.190526742,127422635.49576911,0.007267116186194425,461900000.0,16855.550496683893
