0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Gelderland Expected Number of Deaths,Overijssel Expected Annual Damage,Overijssel Dike Investment Costs,Overijssel Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,2,1,1,6,7,1,0,1,3,6,4,0,0,0,0.4843981224801367,30876825.047533523,35493319.36033734,0.008946016650192927,478900000.0,16272.956607943666
0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,5,4,1,1,6,0,0,0,6,1,7,3,0,0,0,0.09256406289363459,42505872.84294016,32130168.07907235,0.010600774973431924,509600000.0,8536.885784044245
0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,3,5,3,2,6,5,5,7,4,4,6,2,3,7,0,0,0.009219990275074239,0.0,76810117.83663256,0.0,303800000.0,1611.2311047922337
0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,3,4,2,3,4,4,7,7,3,0,1,0,0,0,0,0.02350209085780814,271321905.15424824,6320800.309666242,0.031045898152055072,236500000.0,17584.23768377555
0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,3,0,2,1,4,10,4,0,5,1,3,0,0,3,0,0,0.15764175598154556,46734956.33745097,38804933.73898803,0.0044309085126461355,236500000.0,35404.525492719265
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,1,3,5,6,9,5,1,0,3,4,0,0,0,0.00739301969860966,492154720.65484023,19176830.963968083,0.056436017710445464,0.0,29104.692559735744
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,2,1,0,2,0,5,6,5,3,0,4,0,0,0,0.09341990315727101,369261500.7612902,19176830.963968083,0.03563186528855929,0.0,45500.93280263714
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,7,4,2,3,5,6,7,5,0,4,0,0,0,0,0,0.014844285199602885,498703242.63117105,9695195.36216505,0.05743646934666173,30700000.0,27809.41910577982
0,1,0,1,0,0,0,0,1,1,0,1,1,1,1,4,4,6,8,6,1,1,1,8,6,5,3,0,5,0,0,0.02348547726740622,494312.08956197504,57745292.975598596,5.4572741545121733e-05,1343800000.0,6767.984511141687
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,7,7,2,3,5,6,7,5,7,4,0,0,0,0,0,0.02741611193290938,551822898.6479392,9695195.36216505,0.15395621942363288,61400000.0,17420.087340314596
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,2,2,0,0,4,3,0,4,0,0,0,2.3555667155148066,198248920.04658636,19176830.963968083,0.13303349378059104,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,2,3,2,7,7,5,5,4,0,7,0,0,0,0.08467442881221461,455673552.35049725,26008389.578208447,0.12902202731640522,0.0,17445.721333560108
0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,3,1,6,5,0,3,0,1,0,0,0,2,0,0,0,0,0.08639182107267691,38695325.43842031,7332080.219521779,0.004031966829114691,473000000.0,27758.533203233077
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,7,0,0,3,2,7,7,3,3,1,0,0,0,0.9709090777729728,78808485.67508347,25535950.208077375,0.0917123633844131,121200000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,7,6,3,5,0,1,1,1,4,0,0,0,0,0,0.27561568738103304,437432210.447799,9695195.36216505,0.05050352220440606,0.0,43693.07711930717
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,6,7,2,0,5,7,10,5,3,3,4,3,0,0,0,0.0523897809330671,244546022.54112256,29871759.256855987,0.06607897297276705,205800000.0,14002.705970215105
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,6,4,3,1,0,6,2,8,0,1,0,0,0,0,0.23637189323186536,180056299.96194062,6320800.309666242,0.1368064322780274,151900000.0,0.0
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,2,0,2,6,1,7,4,0,0,0,0,0,0,0.6857485313687957,410131731.9000641,0.0,0.3205053399618885,115300000.0,0.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,4,3,5,1,7,1,10,3,0,3,0,0,0,0.12115263967992439,474243189.8128658,17803345.000196747,0.05539378017735226,30700000.0,27943.98057718158
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,7,2,7,5,0,2,0,1,0,1,0,3,0,0,0.20255222343509385,91327309.12908912,36672326.35204622,0.009741469474967027,0.0,30256.470565863103
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,1,7,0,3,3,0,0,0,0,0,0,1.4548620965647723,283011148.7785335,0.0,0.18778170438749947,84600000.0,0.0
