Gelderland Expected Annual Damage,Gelderland Dike Investment Costs,Gelderland Expected Number of Deaths,Overijssel Expected Annual Damage,Overijssel Dike Investment Costs,Overijssel Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0.0,631340923.9676849,0.0,75343.65393876385,113387970.41963367,4.738781047401243e-06,1201300000.0,2.9513673983317354
0.0,631340923.9676849,0.0,9920195.520108605,113387970.41963367,0.0008735632163908365,1201300000.0,817.8575005736291
0.0,631340923.9676849,0.0,396360.96856403543,113387970.41963367,2.9861249060099717e-05,1201300000.0,21.524931449919237
0.0,631340923.9676849,0.0,1535833.5979418454,113387970.41963367,0.00011188703034190375,1201300000.0,85.54977935087155
0.0,631340923.9676849,0.0,7213238.294542083,113387970.41963367,0.0014594376750282378,1201300000.0,549.659418620464
0.0,631340923.9676849,0.0,575824.4237201451,113387970.41963367,5.3410618034127854e-05,1201300000.0,39.83825854286603
0.0,631340923.9676849,0.0,328150.1573965272,113387970.41963367,2.6487625893941193e-05,1201300000.0,16.829882530410128
0.0,631340923.9676849,0.0,0.0,113387970.41963367,0.0,1201300000.0,0.0
0.0,631340923.9676849,0.0,490806.4535452292,113387970.41963367,5.711070320606063e-05,1201300000.0,40.52863687906824
332022513.68954444,631340923.9676849,0.023537798318331506,262672.92615732766,113387970.41963367,3.0610545924001074e-05,1201300000.0,2407.9579008754704
0.0,631340923.9676849,0.0,35526.89814541876,113387970.41963367,4.261164819569008e-06,1201300000.0,2.8622516398040068
0.0,631340923.9676849,0.0,0.0,113387970.41963367,0.0,1201300000.0,0.0
3416721.1284893993,631340923.9676849,0.0013525745922185904,0.0,113387970.41963367,0.0,1201300000.0,184.2938403188516
0.0,631340923.9676849,0.0,395546.18530531856,113387970.41963367,2.3493832486667113e-05,1201300000.0,16.271287250732456
0.0,631340923.9676849,0.0,0.0,113387970.41963367,0.0,1201300000.0,0.0
0.0,631340923.9676849,0.0,6895516.075260825,113387970.41963367,0.0010388493226493097,1201300000.0,443.9524360733532
0.0,631340923.9676849,0.0,1521362.7566197203,113387970.41963367,0.00011001798194847922,1201300000.0,85.20104399474465
393626.022963186,631340923.9676849,3.6192665319917386e-05,0.0,113387970.41963367,0.0,1201300000.0,3.6692603364936938
0.0,631340923.9676849,0.0,1216531.8575270444,113387970.41963367,0.0001107506937603656,1201300000.0,85.33775662110335
0.0,631340923.9676849,0.0,487413.6010670396,113387970.41963367,5.643977233063759e-05,1201300000.0,40.403451614416795
0.0,631340923.9676849,0.0,0.0,113387970.41963367,0.0,1201300000.0,0.0
0.0,631340923.9676849,0.0,0.0,113387970.41963367,0.0,1201300000.0,0.0
0.0,631340923.9676849,0.0,1637805.8931105451,113387970.41963367,0.00014225549533684865,1201300000.0,118.53596662035734
0.0,631340923.9676849,0.0,1118234.4728696856,113387970.41963367,9.625257432915998e-05,1201300000.0,81.47860708733423
0.0,631340923.9676849,0.0,294943.3444908901,113387970.41963367,2.6485378175866163e-05,1201300000.0,20.895046456468346
0.0,631340923.9676849,0.0,0.0,113387970.41963367,0.0,1201300000.0,0.0
0.0,631340923.9676849,0.0,1886574.3918459485,113387970.41963367,0.00010148103089157887,1201300000.0,83.53629023704097
0.0,631340923.9676849,0.0,1880153.6350313677,113387970.41963367,0.0002052942028784242,1201300000.0,98.45921971370896
238967.45986084285,631340923.9676849,9.543390195507262e-05,6808154.5130244475,113387970.41963367,0.0013198222070347858,1201300000.0,539.8805253571345
0.0,631340923.9676849,0.0,165889.30761620146,113387970.41963367,1.6845618220909716e-05,1201300000.0,10.658393725877065
0.0,631340923.9676849,0.0,469374.6924560252,113387970.41963367,5.287260846958978e-05,1201300000.0,39.737874327160895
0.0,631340923.9676849,0.0,0.0,113387970.41963367,0.0,1201300000.0,0.0
0.0,631340923.9676849,0.0,0.0,113387970.41963367,0.0,1201300000.0,0.0
0.0,631340923.9676849,0.0,0.0,113387970.41963367,0.0,1201300000.0,0.0
0.0,631340923.9676849,0.0,3098659.889230419,113387970.41963367,0.0002082469674238443,1201300000.0,181.5293372561204
4195485.583246437,631340923.9676849,0.0013692516855176213,0.0,113387970.41963367,0.0,1201300000.0,184.49362668498236
0.0,631340923.9676849,0.0,924862.8737473364,113387970.41963367,9.751676247573983e-05,1201300000.0,81.98011532291119
0.0,631340923.9676849,0.0,485116.01190754847,113387970.41963367,5.598542793575172e-05,1201300000.0,40.31867801791057
9534381.005074408,631340923.9676849,0.0029996945663247,3847147.502533756,113387970.41963367,0.00031303920412310485,1201300000.0,705.6910531091826
0.0,631340923.9676849,0.0,0.0,113387970.41963367,0.0,1201300000.0,0.0
0.0,631340923.9676849,0.0,10839022.150416093,113387970.41963367,0.0008917154315987559,1201300000.0,826.9204189372167
7248212.85427277,631340923.9676849,0.002838026315682092,7963551.172744013,113387970.41963367,0.000726561396217356,1201300000.0,1084.7368892013562
0.0,631340923.9676849,0.0,0.0,113387970.41963367,0.0,1201300000.0,0.0
0.0,631340923.9676849,0.0,7236377.140458707,113387970.41963367,0.0003890856042788967,1201300000.0,319.2018058397659
27571083.574546773,631340923.9676849,0.001954574096148049,859873.6987793811,113387970.41963367,4.568396544368384e-05,1201300000.0,236.55389547815506
0.0,631340923.9676849,0.0,0.0,113387970.41963367,0.0,1201300000.0,0.0
0.0,631340923.9676849,0.0,1998809.010307511,113387970.41963367,0.00021635433392309865,1201300000.0,173.85845124503197
0.0,631340923.9676849,0.0,14265352.48264268,113387970.41963367,0.0013258344922878896,1201300000.0,1284.3589944862765
