Gelderland Expected Annual Damage,Gelderland Dike Investment Costs,Gelderland Expected Number of Deaths,Overijssel Expected Annual Damage,Overijssel Dike Investment Costs,Overijssel Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
456337094.09753793,0,0.7793594306050065,0.0,0,0.0,0.0,0.0
4446046379.045161,0,5.164678375701188,0.0,0,0.0,0.0,0.0
359324042.677593,0,0.28022141089278174,181757291.2036507,0,0.0644382486060939,0.0,0.0
349730761.9372637,0,0.29438030303268814,65524416.64611252,0,0.027958264232855738,0.0,0.0
26623164.393417045,0,0.05714292876923769,7300713.630892368,0,0.0051230697230942755,0.0,0.0
661771912.553271,0,0.8409129823624482,0.0,0,0.0,0.0,0.0
1723386654.0211344,0,2.8462429716437927,26442279.00384197,0,0.022093589284899202,0.0,0.0
3986877334.4152036,0,4.92240228118502,0.0,0,0.0,0.0,0.0
716547720.4722022,0,0.6943692050571648,0.0,0,0.0,0.0,0.0
2569005708.9844666,0,3.5806555704799385,0.0,0,0.0,0.0,0.0
196946456.28623092,0,0.17812812390330163,74740569.11062582,0,0.03716859638587973,0.0,0.0
3833006259.706357,0,3.7517792646026633,0.0,0,0.0,0.0,0.0
2270506836.319307,0,1.9082900847708257,0.0,0,0.0,0.0,0.0
755559611.9852093,0,1.241876445390924,377821287.9713006,0,0.31231174955525587,0.0,0.0
531987290.02153563,0,0.5202453650366776,0.0,0,0.0,0.0,0.0
77344100.50523731,0,0.0895482694117345,37599073.48182774,0,0.01918780708721978,0.0,0.0
877796833.9433917,0,0.8436973073394615,0.0,0,0.0,0.0,0.0
808193399.4954426,0,0.8350668264792332,7102679.366414873,0,0.0026182827691906595,0.0,0.0
2527367911.479471,0,3.8539122228235594,0.0,0,0.0,0.0,0.0
32965832.95542558,0,0.05714291660311856,65320839.85978134,0,0.0431448531566648,0.0,0.0
3224918158.831088,0,1.8714358368288075,18753320.582767557,0,0.014601350160816599,0.0,0.0
3160809766.035369,0,4.374474272865646,0.0,0,0.0,0.0,0.0
692120089.6638932,0,0.9524508725087045,674348015.927556,0,0.6228300844208046,0.0,0.0
261910996.2811396,0,0.23318723304277988,79687065.26285836,0,0.03617599990225739,0.0,0.0
1670529089.1615317,0,3.1854783416117445,185211729.03552553,0,0.18021287187394225,0.0,0.0
2760065888.506846,0,3.747247095954771,0.0,0,0.0,0.0,0.0
4550836768.446359,0,4.13520782225075,0.0,0,0.0,0.0,0.0
2654203337.462159,0,1.8430007853461872,0.0,0,0.0,0.0,0.0
134114459.0913676,0,0.18986372236611726,350328221.4698418,0,0.30842451544410865,0.0,0.0
406649817.3717389,0,0.640978809903407,293013905.5045699,0,0.261395598001264,0.0,0.0
125254144.10836548,0,0.14520954820104207,0.0,0,0.0,0.0,0.0
2827120138.3705835,0,1.8238433928692217,0.0,0,0.0,0.0,0.0
2863365825.050373,0,2.1076514869822507,0.0,0,0.0,0.0,0.0
1678122120.3221564,0,2.538198640096594,103593785.95613366,0,0.05299726538150547,0.0,0.0
335428721.28132355,0,0.3207575424913792,266110232.43400615,0,0.19824295240171408,0.0,0.0
1436256524.202067,0,1.9868835095278807,0.0,0,0.0,0.0,0.0
2855766633.982227,0,1.8471311696798134,0.0,0,0.0,0.0,0.0
576420265.4766128,0,0.6122951998643931,0.0,0,0.0,0.0,0.0
725495474.3092477,0,0.8480034175990743,25033276.861670956,0,0.011253221269077018,0.0,0.0
183298681.5951663,0,0.17933012710615578,123382257.1578022,0,0.14217930897939066,0.0,0.0
141249670.5071635,0,0.15330722862111024,81496724.8940112,0,0.03645898093431921,0.0,0.0
2588050605.4733996,0,1.9654208034231435,44876731.934167616,0,0.023384831177911132,0.0,0.0
229844174.4671071,0,0.2635846301920688,7216886.764939246,0,0.003944615817356206,0.0,0.0
1675604788.667609,0,2.577472616101571,10981905.755321827,0,0.004534067381406987,0.0,0.0
55746713.03022129,0,0.06857069783708165,0.0,0,0.0,0.0,0.0
2466687464.8863297,0,1.53621446301443,479585972.399729,0,0.3673095346151292,0.0,0.0
2982571267.200252,0,1.8571979619913699,0.0,0,0.0,0.0,0.0
555866590.9059068,0,0.43351541998372745,741483476.90079,0,0.6418945506150522,0.0,0.0
2854663035.1336803,0,1.6498581003421535,0.0,0,0.0,0.0,0.0
1676023148.8860285,0,1.2007035435109177,0.0,0,0.0,0.0,0.0
419218980.2540943,0,0.3450103572443237,0.0,0,0.0,0.0,0.0
547873888.1940141,0,0.47580632851260835,0.0,0,0.0,0.0,0.0
911101849.1734401,0,1.975733580308569,7809253.129719464,0,0.004423512928445448,0.0,0.0
675705555.5668564,0,0.8523771354375623,0.0,0,0.0,0.0,0.0
894487729.0000196,0,0.720350367800562,0.0,0,0.0,0.0,0.0
191261534.56446743,0,0.13329866375490435,52865301.44621372,0,0.03275373080022717,0.0,0.0
3168891097.134302,0,2.31278507240618,789989328.022148,0,0.6632582401212757,0.0,0.0
1849442561.433718,0,3.7715810974509987,97637.45783253506,0,5.160717863785564e-05,0.0,0.0
1689675506.741964,0,2.467120328766309,0.0,0,0.0,0.0,0.0
96992078.07002038,0,0.11759844589796217,0.0,0,0.0,0.0,0.0
2903965688.4270263,0,2.068972783251965,0.0,0,0.0,0.0,0.0
4072632511.1012573,0,4.698439155119033,0.0,0,0.0,0.0,0.0
4477255169.940329,0,3.945540428834204,0.0,0,0.0,0.0,0.0
2687866592.5284905,0,1.8724026863028378,0.0,0,0.0,0.0,0.0
3144069796.259956,0,1.8707804900745078,59398335.32327595,0,0.0349045472947979,0.0,0.0
818786700.2677937,0,0.4589423571816348,0.0,0,0.0,0.0,0.0
2829297054.764659,0,1.8256127827987543,0.0,0,0.0,0.0,0.0
1493111222.8369474,0,1.0364275329285082,5198671.631776192,0,0.002428541539535545,0.0,0.0
1764028060.9641573,0,1.0407136775259802,0.0,0,0.0,0.0,0.0
2635496674.421734,0,1.8414222906046758,0.0,0,0.0,0.0,0.0
1036697428.6333996,0,1.0619312913240246,34452703.5892888,0,0.010352385447020006,0.0,0.0
1351298963.311099,0,1.3379477486269002,62890474.484332204,0,0.024780109370165504,0.0,0.0
934764402.984339,0,1.2149527286005952,89627801.36754745,0,0.08953124761257228,0.0,0.0
