Gelderland Expected Annual Damage,Gelderland Dike Investment Costs,Gelderland Expected Number of Deaths,Overijssel Expected Annual Damage,Overijssel Dike Investment Costs,Overijssel Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
747222883.6591995,0,0.5377918944314237,0.0,0,0.0,0.0,0.0
1442021537.095502,0,1.9316216695301085,553137015.8183354,0,0.47720045218295304,0.0,0.0
2838724636.8592534,0,2.3474962559665804,0.0,0,0.0,0.0,0.0
3847673095.4705276,0,2.34486526529251,0.0,0,0.0,0.0,0.0
3447632454.348591,0,3.2097021424410306,0.0,0,0.0,0.0,0.0
1176490613.6924133,0,1.7359715867902594,0.0,0,0.0,0.0,0.0
4177489794.073887,0,3.13280016239417,4545556.617823496,0,0.001742404231370755,0.0,0.0
1852638511.903634,0,3.093154279144385,6000621.434656019,0,0.002912020223765274,0.0,0.0
104045051.17558783,0,0.1597322238100719,0.0,0,0.0,0.0,0.0
770603775.4584161,0,0.5495481140858733,0.0,0,0.0,0.0,0.0
278889241.04059047,0,0.3416680355914979,66068709.57292916,0,0.0733808457783138,0.0,0.0
194483821.02359587,0,0.16655226419153374,1314476.660297143,0,0.0007337147092461768,0.0,0.0
1479234867.4557757,0,3.4228630488899894,0.0,0,0.0,0.0,0.0
2830636973.980493,0,3.1533113507987895,19689622.67383026,0,0.005849380193978649,0.0,0.0
2856012087.584229,0,1.8533759303036481,196445411.43847507,0,0.1634411213741715,0.0,0.0
1257310307.2726538,0,2.448718158910242,0.0,0,0.0,0.0,0.0
3204933866.505737,0,1.9581832049562933,8524327.452495744,0,0.0034828341918425355,0.0,0.0
2561658077.797722,0,3.445351455481257,0.0,0,0.0,0.0,0.0
2327530878.635936,0,3.180549170357855,15053733.874906514,0,0.0060623809642492525,0.0,0.0
2140291795.6244252,0,3.3707232863165197,0.0,0,0.0,0.0,0.0
84175479.5584885,0,0.07727511706667758,0.0,0,0.0,0.0,0.0
543392103.8314058,0,0.4511973553028686,0.0,0,0.0,0.0,0.0
2084059793.9511745,0,2.7701632335930704,1323762.1859826378,0,0.0006118021432529872,0.0,0.0
1098541372.3339362,0,1.4279141045702264,1272382588.8317146,0,0.8826408832223336,0.0,0.0
218968175.55850884,0,0.1607126924992217,184649605.69465345,0,0.08510355316766229,0.0,0.0
2993782329.5134153,0,1.852474430198944,658828.9271987106,0,0.00016417711586708128,0.0,0.0
96889496.20644227,0,0.08252748980938485,0.0,0,0.0,0.0,0.0
2202069267.2714734,0,1.83874329207823,2547241.262983534,0,0.0014576083540571005,0.0,0.0
300039316.7019027,0,0.528534898954913,538515157.5498422,0,0.5133758069654075,0.0,0.0
851244845.2245905,0,1.3885188898536407,109679376.37105942,0,0.045732704608224546,0.0,0.0
2634749052.744466,0,1.8320368086715109,38634123.863814436,0,0.03551680394463341,0.0,0.0
1463628182.3439445,0,2.3336566186551604,0.0,0,0.0,0.0,0.0
1864828804.650324,0,3.3890519412669597,0.0,0,0.0,0.0,0.0
554399295.7956848,0,0.9586410179246915,99777319.91187547,0,0.08198010612915436,0.0,0.0
3422617700.170897,0,1.83745193851107,77249246.89234163,0,0.056684424360463975,0.0,0.0
2853779917.5945935,0,1.8515589004906436,0.0,0,0.0,0.0,0.0
2734721511.596059,0,3.962570544876778,0.0,0,0.0,0.0,0.0
3035222577.9032927,0,3.401338018922801,269256.7497806278,0,0.00013184149431452876,0.0,0.0
2545286704.1721177,0,1.8323757223722998,0.0,0,0.0,0.0,0.0
620456441.2496873,0,0.9599174013072589,184418295.6016223,0,0.15397739146225506,0.0,0.0
3675923833.335987,0,1.9841257652968454,0.0,0,0.0,0.0,0.0
3187495284.738107,0,1.8502454678645197,129088341.17088643,0,0.09618434512439597,0.0,0.0
1871525353.7418308,0,1.4333197106393807,355845264.2263068,0,0.29065567422430955,0.0,0.0
115089802.08468962,0,0.1471247457206203,292363285.05599385,0,0.35122495205704085,0.0,0.0
2975502635.9324474,0,1.838287173061525,0.0,0,0.0,0.0,0.0
2889592274.797365,0,1.8594588488335275,515782961.1442481,0,0.4326934265726429,0.0,0.0
2625239999.250405,0,2.052957731164067,178517588.47560012,0,0.15906487339296183,0.0,0.0
1247267853.7508178,0,1.9066392236615988,17593981.789040994,0,0.016275165736349524,0.0,0.0
71382985.61934881,0,0.0740246809785871,319035420.92324936,0,0.26570415112784845,0.0,0.0
3503237496.5985003,0,2.0224329096961666,15953036.339831287,0,0.006029031163717996,0.0,0.0
3204385704.4178123,0,1.8626804106510468,69030454.47240216,0,0.04835109723587548,0.0,0.0
2491542538.6344934,0,2.196435742539092,0.0,0,0.0,0.0,0.0
2261633486.1892276,0,3.7457204447862367,41622760.595742986,0,0.04085336170009677,0.0,0.0
1581408381.2858527,0,1.555865271513243,4790448.441586904,0,0.0062969489759456205,0.0,0.0
2347514394.88839,0,1.8569808888594008,27102222.578797296,0,0.02275647516673195,0.0,0.0
3000766728.8429346,0,1.8578959267895638,0.0,0,0.0,0.0,0.0
2057157299.809694,0,3.447188939535862,0.0,0,0.0,0.0,0.0
2858937009.1034145,0,1.8557567700337931,0.0,0,0.0,0.0,0.0
369900902.311877,0,0.3541522918751443,0.0,0,0.0,0.0,0.0
101811790.22362392,0,0.2253484765368463,645617666.3190286,0,0.7815216939255175,0.0,0.0
1704186992.4609532,0,1.2791348240275844,218782797.21069744,0,0.13290983311979326,0.0,0.0
237013601.59886605,0,0.2546439405158753,98092088.9204951,0,0.05041159176997686,0.0,0.0
94200877.29933366,0,0.14012113579705604,165668331.36005583,0,0.13082606703417887,0.0,0.0
2998010885.806801,0,1.8557567700337931,0.0,0,0.0,0.0,0.0
1873519197.8781095,0,1.8246933959886817,10369145.541681994,0,0.01322163937919314,0.0,0.0
690224588.2662392,0,1.4479797033691948,125912022.00353998,0,0.06616243576681463,0.0,0.0
